Leg0,Leg1,Spine,Beta_Acc,Beta
300.00,1500.00,242.20,-0.06,1.36
312.00,1488.00,241.43,-0.73,1.33
312.00,1488.00,241.43,-0.37,1.32
324.00,1476.00,240.63,0.30,1.33
324.00,1476.00,240.63,-0.61,1.32
336.00,1464.00,239.80,0.12,1.32
336.00,1464.00,239.80,-1.40,1.28
348.00,1452.00,238.95,-1.65,1.24
348.00,1452.00,238.95,-1.34,1.20
360.00,1440.00,238.07,-0.79,1.18
372.00,1428.00,237.17,-0.79,1.15
372.00,1428.00,237.17,-0.79,1.13
384.00,1416.00,236.24,-0.98,1.11
384.00,1416.00,236.24,0.00,1.11
396.00,1404.00,235.29,-1.04,1.08
396.00,1404.00,235.29,-0.43,1.07
408.00,1392.00,234.31,-0.73,1.04
408.00,1392.00,234.31,-0.61,1.03
420.00,1380.00,233.30,-0.67,1.01
420.00,1380.00,233.30,-1.46,0.97
432.00,1368.00,232.28,-1.34,0.93
444.00,1356.00,231.23,-0.91,0.91
444.00,1356.00,231.23,-1.59,0.86
456.00,1344.00,230.16,-1.71,0.82
456.00,1344.00,230.16,-0.98,0.79
468.00,1332.00,229.06,-0.49,0.78
468.00,1332.00,229.06,-2.44,0.71
480.00,1320.00,227.95,-0.79,0.69
480.00,1320.00,227.95,0.00,0.69
492.00,1308.00,226.81,-1.16,0.65
504.00,1296.00,225.65,-0.24,0.65
504.00,1296.00,225.65,-0.98,0.62
516.00,1284.00,224.47,-0.98,0.59
516.00,1284.00,224.47,0.55,0.61
528.00,1272.00,223.27,-1.83,0.56
528.00,1272.00,223.27,0.12,0.56
540.00,1260.00,222.06,0.73,0.58
540.00,1260.00,222.06,-0.24,0.57
552.00,1248.00,220.82,0.00,0.57
564.00,1236.00,219.57,0.12,0.58
564.00,1236.00,219.57,-1.16,0.55
576.00,1224.00,218.29,-1.52,0.50
576.00,1224.00,218.29,0.43,0.52
588.00,1212.00,217.01,0.18,0.52
588.00,1212.00,217.01,-0.24,0.51
600.00,1200.00,215.70,-2.80,0.44
600.00,1200.00,215.70,-4.51,0.31
612.00,1188.00,214.38,0.00,0.31
624.00,1176.00,213.04,0.67,0.33
624.00,1176.00,213.04,-0.73,0.31
636.00,1164.00,211.69,-2.38,0.24
636.00,1164.00,211.69,-0.24,0.24
648.00,1152.00,210.33,-2.01,0.18
648.00,1152.00,210.33,-5.06,0.04
660.00,1140.00,208.95,-0.18,0.04
660.00,1140.00,208.95,-2.50,-0.03
672.00,1128.00,207.56,-4.82,-0.17
684.00,1116.00,206.15,-9.33,-0.42
684.00,1116.00,206.15,-15.98,-0.86
696.00,1104.00,204.74,-19.21,-1.40
696.00,1104.00,204.74,-20.12,-1.95
708.00,1092.00,203.31,-20.98,-2.53
708.00,1092.00,203.31,-12.01,-2.87
720.00,1080.00,201.87,2.56,-2.79
720.00,1080.00,201.87,1.22,-2.76
732.00,1068.00,200.43,-4.70,-2.89
732.00,1068.00,200.43,-4.45,-3.01
