time,x,y,z,shaft_length
70.880,-0.000680,-0.009943,0.039954,0.0000
70.912,-0.000680,-0.009765,0.039976,0.0000
70.944,-0.000680,-0.009585,0.039997,0.0000
70.976,-0.000680,-0.009404,0.040018,0.0000
71.008,-0.000680,-0.009221,0.040038,0.0000
71.040,-0.000680,-0.009037,0.040057,0.0000
71.072,-0.000680,-0.008851,0.040075,0.0000
71.104,-0.000680,-0.008664,0.040093,0.0000
71.136,-0.000680,-0.008475,0.040109,0.0000
71.168,-0.000680,-0.008285,0.040125,0.0000
71.200,-0.000680,-0.008094,0.040140,0.0000
71.232,-0.000680,-0.007901,0.040155,0.0000
71.264,-0.000680,-0.007706,0.040168,0.0000
71.296,-0.000680,-0.007510,0.040181,0.0000
71.328,-0.000680,-0.007313,0.040193,0.0000
71.360,-0.000680,-0.007115,0.040204,0.0000
71.392,-0.000680,-0.006915,0.040215,0.0000
71.424,-0.000680,-0.006714,0.040224,0.0000
71.456,-0.000680,-0.006511,0.040233,0.0000
71.488,-0.000680,-0.006308,0.040241,0.0000
71.520,-0.000680,-0.006103,0.040248,0.0000
71.552,-0.000680,-0.005896,0.040255,0.0000
71.584,-0.000680,-0.005688,0.040261,0.0000
71.616,-0.000680,-0.005480,0.040268,0.0000
71.648,-0.000680,-0.005269,0.040276,0.0000
71.680,-0.000680,-0.005058,0.040282,0.0000
71.712,-0.000680,-0.004845,0.040287,0.0000
71.744,-0.000680,-0.004631,0.040292,0.0000
71.776,-0.000680,-0.004416,0.040296,0.0000
71.808,-0.000680,-0.004306,0.040294,0.0000
71.872,-0.000680,-0.004182,0.040291,0.0000
72.096,-0.000680,-0.004081,0.040288,0.0000
79.872,-0.000680,-0.004200,0.040286,0.0000
79.904,-0.000680,-0.004386,0.040285,0.0000
79.936,-0.000680,-0.004603,0.040281,0.0000
79.968,-0.000680,-0.004818,0.040278,0.0000
80.000,-0.000680,-0.005032,0.040273,0.0000
80.032,-0.000680,-0.005244,0.040268,0.0000
80.064,-0.000680,-0.005455,0.040261,0.0000
80.096,-0.000680,-0.005666,0.040255,0.0000
80.128,-0.000680,-0.005874,0.040247,0.0000
80.160,-0.000680,-0.006082,0.040240,0.0000
80.192,-0.000680,-0.006288,0.040234,0.0000
80.224,-0.000680,-0.006493,0.040227,0.0000
80.256,-0.000680,-0.006697,0.040220,0.0000
80.288,-0.000680,-0.006899,0.040211,0.0000
80.320,-0.000680,-0.007100,0.040202,0.0000
80.352,-0.000680,-0.007300,0.040192,0.0000
80.384,-0.000680,-0.007498,0.040181,0.0000
80.416,-0.000680,-0.007695,0.040169,0.0000
80.448,-0.000680,-0.007890,0.040156,0.0000
80.480,-0.000680,-0.008085,0.040143,0.0000
80.512,-0.000680,-0.008277,0.040128,0.0000
80.544,-0.000680,-0.008469,0.040113,0.0000
80.576,-0.000680,-0.008659,0.040098,0.0000
80.608,-0.000680,-0.008847,0.040081,0.0000
80.640,-0.000680,-0.009034,0.040064,0.0000
80.672,-0.000680,-0.009220,0.040045,0.0000
80.704,-0.000680,-0.009404,0.040026,0.0000
80.736,-0.000680,-0.009587,0.040007,0.0000
80.768,-0.000680,-0.009768,0.039986,0.0000
80.800,-0.000680,-0.009948,0.039965,0.0000
80.832,-0.000680,-0.010126,0.039942,0.0000
80.864,-0.000680,-0.010303,0.039920,0.0000
80.896,-0.000680,-0.010479,0.039896,0.0000
80.928,-0.000680,-0.010653,0.039871,0.0000
80.960,-0.000680,-0.010825,0.039846,0.0000
80.992,-0.000680,-0.010996,0.039820,0.0000
81.024,-0.000680,-0.011165,0.039793,0.0000
81.056,-0.000680,-0.011332,0.039765,0.0000
81.088,-0.000680,-0.011498,0.039737,0.0000
81.120,-0.000680,-0.011663,0.039708,0.0000
81.152,-0.000680,-0.011825,0.039678,0.0000
81.184,-0.000680,-0.011986,0.039647,0.0000
81.216,-0.000680,-0.012146,0.039616,0.0000
81.248,-0.000680,-0.012303,0.039584,0.0000
81.280,-0.000680,-0.012459,0.039551,0.0000
81.312,-0.000680,-0.012614,0.039517,0.0000
81.344,-0.000680,-0.012767,0.039482,0.0000
81.376,-0.000680,-0.012918,0.039447,0.0000
81.408,-0.000680,-0.013067,0.039411,0.0000
81.440,-0.000680,-0.013215,0.039374,0.0000
81.472,-0.000680,-0.013361,0.039337,0.0000
81.504,-0.000680,-0.013505,0.039299,0.0000
81.536,-0.000680,-0.013648,0.039260,0.0000
81.568,-0.000680,-0.013789,0.039220,0.0000
81.600,-0.000680,-0.013928,0.039183,0.0000
81.632,-0.000680,-0.014066,0.039145,0.0000
81.664,-0.000680,-0.014201,0.039106,0.0000
81.696,-0.000680,-0.014335,0.039066,0.0000
81.728,-0.000680,-0.014468,0.039026,0.0000
81.760,-0.000680,-0.014598,0.038985,0.0000
81.792,-0.000680,-0.014697,0.038948,0.0000
81.856,-0.000680,-0.014808,0.038905,0.0000
89.856,-0.000680,-0.014818,0.038748,0.0000
89.888,-0.000680,-0.014736,0.038629,0.0000
89.920,-0.000680,-0.014654,0.038509,0.0000
89.952,-0.000680,-0.014572,0.038389,0.0000
89.984,-0.000680,-0.014491,0.038269,0.0000
